% CAPS-DAQ Version = 1.8.18
% CAPS software (c) Aerodyne Research, Inc.
% version: 0.12.7
% os: 6.6.58-gff02fcbf94a4
% Serial Number: 326001
% Total hours of operation: 1360:31
% Part: lamp installed on: 2024-01-22 in use for: 0:00 hours
% Part: pump1 installed on: 2024-01-23 in use for: 0:00 hours
% Part: pump2 installed on: 2023-08-31 in use for: 0:00 hours
% Auto. Baseline  is   On
% Auto. Baseline Interval = 0 HOURS 15 MINUTES
% Autosave  is   On
% Autosave Interval = 00 HOURS 01 MINUTES , starting 00 HOURS 01 MINUTES
% Divisors :  588 589 692664 294
% Mean Frequency = 16992.4
% IF Frequency = 28.874
% Exact Sample Time = .90
%             0            0           82            1
%          0742           17           15           10
%            40            3            5            3
%             0            0          151          700
%             0           77   6.9600e+00          100
%    0.0000e+00            0            0            0
%    7.3000e-01   2.9095e+02   0.0000e+00   6.3437e+00
%             0          111          136       326001
%    1.4402e+05            0   1.4200e+01   2.3408e+05
%    2.9729e+02   6.1100e+00           16         DHCP
%    10.80.0.61  caps-326001           35            1
%             0   2.9747e+05   7.5438e+02   1.0972e+00
%    1.8909e+04   5.3542e-01   1.1923e+01         2000
%           -20          588           17            5
%           650          950          166           13
%             0          294   1.9200e+00   5.2500e+00
%             0 2018-6-27_at_13:09   9.7141e-01 2018-6-27_at_13:05
%    2.0616e+00   2017-09-01  -1.0972e+01  01-Jan-1970
%   -1.1177e-35  08-Mar-2016  -3.6882e-22  01-Jan-1970
%    0.0000e+00   1.0000e+00   0.0000e+00   9.6000e-01
%             0            0
IgorTime,Extinction,Scattering,Loss,Pressure,Temperature,Signal,LossRef,Status,WC,SignalRef,RawScatRef,RawScat,SDR,WCRef,Timestamp
3864996961.987,0.724,0.157,297.829,755.87,297.59,143925,290.946,32136,0.536,144017.389,18909.158,19141,12,0.535,2026/06/22 14:16:01.939
3864996962.986,0.015,0.014,297.304,755.04,297.58,143908,290.946,32136,0.535,144017.389,18909.158,18921,12,0.535,2026/06/22 14:16:02.929
3864996963.987,0.182,-0.117,297.425,755.04,297.59,143874,290.946,32136,0.536,144017.389,18909.158,18704,12,0.535,2026/06/22 14:16:03.934
3864996964.997,0.058,0.064,297.337,755.24,297.58,143874,290.946,32136,0.535,144017.389,18909.158,18998,12,0.535,2026/06/22 14:16:04.962
3864996965.987,0.828,0.103,297.972,755.35,297.59,143888,291.018,11136,0.536,144079.244,18955.921,19079,12,0.535,2026/06/22 14:16:05.939
3864996966.988,-0.245,-0.048,297.190,755.50,297.59,143875,291.018,11136,0.535,144079.244,18955.921,18871,12,0.535,2026/06/22 14:16:06.939
3864996967.982,0.524,-0.044,297.754,755.87,297.59,143861,291.018,11136,0.536,144079.244,18955.921,18858,12,0.535,2026/06/22 14:16:07.928
3864996968.986,-0.073,0.001,297.319,755.87,297.59,143847,291.018,11136,0.535,144079.244,18955.921,18944,12,0.535,2026/06/22 14:16:08.929
3864996969.990,0.011,-0.079,297.379,755.71,297.59,143856,291.018,11136,0.535,144079.244,18955.921,18815,12,0.535,2026/06/22 14:16:09.942
3864996970.987,0.267,-0.158,297.567,755.87,297.58,143847,291.018,11136,0.536,144079.244,18955.921,18684,12,0.535,2026/06/22 14:16:10.937
3864996971.986,0.286,0.039,297.583,756.07,297.59,143835,291.018,11136,0.536,144079.244,18955.921,18996,12,0.535,2026/06/22 14:16:11.938
3864996972.982,0.046,0.056,297.407,756.07,297.59,143835,291.018,11136,0.536,144079.244,18955.921,19030,12,0.535,2026/06/22 14:16:12.931
3864996973.987,-0.088,0.076,297.310,756.07,297.59,143849,291.018,11136,0.535,144079.244,18955.921,19066,12,0.535,2026/06/22 14:16:13.937
3864996974.996,0.173,-0.065,297.502,756.33,297.59,143833,291.018,11136,0.536,144079.244,18955.921,18837,12,0.535,2026/06/22 14:16:14.947
3864996975.997,0.063,-0.082,297.421,756.18,297.59,143838,291.018,10136,0.536,144079.244,18955.921,18805,12,0.535,2026/06/22 14:16:15.944
3864996976.990,-0.325,0.035,297.137,756.07,297.59,143844,291.018,10136,0.535,144079.244,18955.921,18999,12,0.535,2026/06/22 14:16:16.943
3864996977.990,-0.040,-0.021,297.343,755.87,297.59,143812,291.018,10136,0.535,144079.244,18955.921,18896,12,0.535,2026/06/22 14:16:17.939
3864996978.990,-0.107,-0.026,297.296,756.07,297.59,143796,291.018,10136,0.535,144079.244,18955.921,18891,12,0.535,2026/06/22 14:16:18.929
3864996979.999,-0.645,-0.061,296.903,756.07,297.58,143805,291.018,10136,0.535,144079.244,18955.921,18852,12,0.535,2026/06/22 14:16:19.948
3864996980.993,-0.866,-0.192,296.735,755.35,297.59,143823,291.018,10136,0.535,144079.244,18955.921,18642,12,0.535,2026/06/22 14:16:21.110
3864996981.989,-0.096,-0.153,297.302,755.87,297.58,143797,291.018,10136,0.535,144079.244,18955.921,18687,12,0.535,2026/06/22 14:16:21.943
3864996982.992,-0.451,-0.129,297.045,756.07,297.58,143751,291.018,10136,0.535,144079.244,18955.921,18731,12,0.535,2026/06/22 14:16:22.946
3864996983.993,-0.291,-0.149,297.164,756.33,297.58,143801,291.018,10136,0.535,144079.244,18955.921,18706,12,0.535,2026/06/22 14:16:23.945
3864996984.999,0.023,0.005,297.391,756.07,297.59,143784,291.018,10136,0.535,144079.244,18955.921,18934,12,0.535,2026/06/22 14:16:25.185
3864996985.989,-0.373,-0.129,297.100,755.87,297.59,143779,291.018,10136,0.535,144079.244,18955.921,18730,12,0.535,2026/06/22 14:16:25.932
3864996986.985,0.075,-0.031,297.429,756.07,297.58,143783,291.018,10136,0.536,144079.244,18955.921,18877,12,0.535,2026/06/22 14:16:26.927
3864996987.988,-0.749,0.051,296.824,755.71,297.59,143787,291.018,10136,0.535,144079.244,18955.921,19025,12,0.535,2026/06/22 14:16:27.927
3864996988.989,-0.127,0.072,297.283,756.33,297.58,143790,291.018,10136,0.535,144079.244,18955.921,19049,12,0.535,2026/06/22 14:16:28.943
3864996990.002,-0.743,-0.116,296.830,755.87,297.58,143749,291.018,10136,0.535,144079.244,18955.921,18757,12,0.535,2026/06/22 14:16:29.958
3864996990.989,0.094,-0.181,297.441,755.87,297.59,143727,291.018,10136,0.536,144079.244,18955.921,18629,12,0.535,2026/06/22 14:16:30.942
3864996991.987,-0.052,-0.050,297.336,756.07,297.59,143778,291.018,10136,0.535,144079.244,18955.921,18849,12,0.535,2026/06/22 14:16:31.939
3864996992.985,-0.239,-0.004,297.199,756.07,297.59,143752,291.018,10136,0.535,144079.244,18955.921,18924,12,0.535,2026/06/22 14:16:32.927
3864996993.984,0.326,0.066,297.612,756.18,297.58,143751,291.018,10136,0.536,144079.244,18955.921,19021,12,0.535,2026/06/22 14:16:33.932
3864996994.984,-0.070,-0.076,297.321,755.87,297.59,143745,291.018,10136,0.535,144079.244,18955.921,18802,12,0.535,2026/06/22 14:16:34.936
3864996996.003,0.221,0.023,297.533,755.87,297.59,143727,291.018,10136,0.536,144079.244,18955.921,18947,12,0.535,2026/06/22 14:16:35.943
3864996996.986,-0.203,-0.184,297.228,756.33,297.58,143728,291.018,10136,0.535,144079.244,18955.921,18638,12,0.535,2026/06/22 14:16:36.926
3864996997.989,-0.431,-0.236,297.059,756.07,297.58,143733,291.018,10136,0.535,144079.244,18955.921,18559,12,0.535,2026/06/22 14:16:37.943
3864996998.990,0.503,0.040,297.736,755.50,297.59,143744,291.018,10136,0.536,144079.244,18955.921,18964,12,0.535,2026/06/22 14:16:38.943
3864996999.987,-0.324,-0.020,297.134,755.71,297.58,143731,291.018,10136,0.535,144079.244,18955.921,18894,12,0.535,2026/06/22 14:16:39.942
3864997000.997,-0.387,-0.011,297.089,755.87,297.59,143728,291.018,10136,0.535,144079.244,18955.921,18910,12,0.535,2026/06/22 14:16:40.943
3864997001.983,-0.214,-0.078,297.216,755.87,297.59,143721,291.018,10136,0.535,144079.244,18955.921,18799,12,0.535,2026/06/22 14:16:41.926
3864997002.989,-0.323,0.081,297.136,755.87,297.59,143717,291.018,10136,0.535,144079.244,18955.921,19053,12,0.535,2026/06/22 14:16:42.943
3864997003.990,-0.761,0.022,296.819,756.07,297.58,143715,291.018,10136,0.535,144079.244,18955.921,18974,12,0.535,2026/06/22 14:16:43.943
3864997004.983,-0.008,0.000,297.368,756.07,297.59,143708,291.018,10136,0.535,144079.244,18955.921,18918,12,0.535,2026/06/22 14:16:44.926
3864997005.999,0.231,0.010,297.545,756.33,297.58,143682,291.018,10136,0.536,144079.244,18955.921,18927,12,0.535,2026/06/22 14:16:45.943
3864997006.988,-0.054,-0.177,297.331,755.71,297.59,143708,291.018,10136,0.535,144079.244,18955.921,18635,12,0.535,2026/06/22 14:16:46.943
3864997007.983,-0.135,0.058,297.272,755.71,297.58,143665,291.018,10136,0.535,144079.244,18955.921,19003,12,0.535,2026/06/22 14:16:47.937
3864997008.987,0.466,-0.083,297.715,756.18,297.59,143721,291.018,10136,0.536,144079.244,18955.921,18777,12,0.535,2026/06/22 14:16:48.943
