% CAPS-DAQ Version = 1.8.10
% CAPS software (c) Aerodyne Research, Inc.
% version: 0.10.10
% os: 3.10.17-1.0.0-technologic+g86f7675
% Serial Number: 225001
% Auto. Baseline  is   Off
% Auto. Baseline Interval = 0 HOURS 15 MINUTES
% Autosave  is   On
% Autosave Interval = 00 HOURS 01 MINUTES , starting 00 HOURS 01 MINUTES
% Divisors :  588 589 692664 294
% Mean Frequency = 16992.4
% IF Frequency = 28.874
% Exact Sample Time = .90
%             0            0           82            1
%           742           17           15           10
%            40            3            5            3
%           188          131           99          700
%             0           77   1.4100e+01          100
%    5.0000e+00            0            0            0
%    7.9000e-01   3.6781e+02   0.0000e+00   1.2799e+01
%             0          111           25       225001
%    1.3147e+05            0   0.0000e+00   2.2913e+05
%    3.8061e+02   1.0000e+00           16         DHCP
%    10.80.0.47  caps-225001            0            0
%             0   2.9962e+05   7.5672e+02   1.1017e+00
%    0.0000e+00   0.0000e+00   0.0000e+00         2000
%           -20          588           17            5
%             0            0          156           13
%             0          294   1.9200e+00   5.2500e+00
%             1 2018-6-27_at_13:09   9.7141e-01 2018-6-27_at_13:05
%    2.0616e+00   2017-09-01  -1.0972e+01  01-Jan-1970
%   -1.1177e-35  08-Mar-2016  -3.6882e-22  01-Jan-1970
%    0.0000e+00   1.0000e+00   0.0000e+00   9.6000e-01
%             0            0
IgorTime,Extinction,Loss,Pressure,Temperature,Signal,Span,Status,LastBaseline,Timestamp
3831978652.075,11.968,390.057,756.73,299.89,121324,0.79,31125,367.815,2025/06/05 14:30:52.899
3831978653.075,5.923,385.283,756.88,299.90,130348,0.79,31125,367.815,2025/06/05 14:30:53.907
3831978654.075,5.050,384.597,757.09,299.90,130332,0.79,31125,367.815,2025/06/05 14:30:54.908
3831978655.074,4.954,384.516,756.73,299.90,130331,0.79,32125,367.815,2025/06/05 14:30:55.911
3831978656.074,4.028,383.777,756.31,299.90,130382,0.79,32125,367.815,2025/06/05 14:30:56.898
3831978657.075,5.477,384.915,755.95,299.90,130404,0.79,32125,367.815,2025/06/05 14:30:57.898
3831978658.075,5.410,384.876,756.73,299.90,130363,0.79,32125,367.815,2025/06/05 14:30:58.899
3831978659.075,5.484,384.929,756.42,299.90,130405,0.79,32125,367.815,2025/06/05 14:30:59.901
3831978660.075,4.351,384.039,756.73,299.90,130434,0.79,32125,367.815,2025/06/05 14:31:00.912
3831978661.074,4.073,383.810,756.16,299.90,130322,0.79,32125,367.815,2025/06/05 14:31:01.903
3831978662.075,4.237,383.940,756.16,299.90,130330,0.79,32125,367.815,2025/06/05 14:31:02.905
3831978663.075,4.680,384.305,757.09,299.90,130369,0.79,32125,367.815,2025/06/05 14:31:03.907
3831978664.074,4.887,384.463,756.73,299.90,130333,0.79,32125,367.815,2025/06/05 14:31:04.894
3831978665.076,5.081,384.616,756.73,299.90,130311,0.79,32125,367.815,2025/06/05 14:31:05.912
3831978666.075,5.198,384.695,755.95,299.90,130118,0.79,32125,367.815,2025/06/05 14:31:06.894
3831978667.075,5.476,384.914,755.95,299.90,130292,0.79,32125,367.815,2025/06/05 14:31:07.895
3831978668.075,5.304,384.777,755.85,299.90,130344,0.79,32125,367.815,2025/06/05 14:31:08.894
3831978669.075,5.104,384.616,755.64,299.90,130215,0.79,32125,367.815,2025/06/05 14:31:09.894
3831978670.076,6.842,385.986,755.49,299.90,129999,0.79,32125,367.815,2025/06/05 14:31:10.911
3831978671.076,7.564,386.562,755.85,299.90,130024,0.79,32125,367.815,2025/06/05 14:31:11.895
3831978672.076,7.510,386.516,755.64,299.90,130069,0.79,32125,367.815,2025/06/05 14:31:12.894
3831978673.075,5.283,384.755,755.49,299.89,130079,0.79,32125,367.815,2025/06/05 14:31:13.894
3831978674.078,5.787,385.150,755.38,299.90,130129,0.79,32125,367.815,2025/06/05 14:31:14.911
3831978675.076,4.873,384.430,755.49,299.90,130192,0.79,32125,367.815,2025/06/05 14:31:15.910
3831978676.075,6.083,385.385,755.38,299.90,130214,0.79,32125,367.815,2025/06/05 14:31:16.895
3831978677.076,4.533,384.160,755.38,299.90,130266,0.79,32125,367.815,2025/06/05 14:31:17.900
3831978678.076,5.262,384.736,755.38,299.90,130222,0.79,32125,367.815,2025/06/05 14:31:18.894
3831978679.076,5.605,385.003,755.18,299.90,130328,0.79,32125,367.815,2025/06/05 14:31:19.894
3831978680.076,4.624,384.240,755.85,299.90,130530,0.79,32125,367.815,2025/06/05 14:31:20.909
3831978681.078,4.045,383.776,755.49,299.90,130358,0.79,32125,367.815,2025/06/05 14:31:21.910
3831978682.076,4.498,384.142,755.95,299.90,130265,0.79,32125,367.815,2025/06/05 14:31:22.911
3831978683.076,4.655,384.274,756.42,299.90,130269,0.79,32125,367.815,2025/06/05 14:31:23.894
3831978684.076,6.185,385.483,756.42,299.90,130320,0.79,32125,367.815,2025/06/05 14:31:24.894
3831978685.076,4.296,383.987,756.16,299.89,130298,0.79,32125,367.815,2025/06/05 14:31:25.923
3831978686.076,5.645,385.052,756.16,299.90,130318,0.79,32125,367.815,2025/06/05 14:31:26.894
3831978687.076,5.974,385.308,755.95,299.90,130172,0.79,32125,367.815,2025/06/05 14:31:27.893
3831978688.076,5.354,384.825,756.31,299.90,130132,0.79,32125,367.815,2025/06/05 14:31:28.908
3831978689.075,5.932,385.281,756.31,299.90,130112,0.79,32125,367.815,2025/06/05 14:31:29.894
3831978690.076,4.739,384.340,756.42,299.90,130213,0.79,32125,367.815,2025/06/05 14:31:30.909
3831978691.075,4.484,384.137,756.31,299.90,130266,0.79,32125,367.815,2025/06/05 14:31:31.893
3831978692.076,6.783,385.951,756.16,299.90,130229,0.79,32125,367.815,2025/06/05 14:31:32.896
3831978693.076,5.079,384.612,756.62,299.90,130316,0.79,32125,367.815,2025/06/05 14:31:33.893
3831978694.075,4.738,384.345,756.73,299.90,130281,0.79,32125,367.815,2025/06/05 14:31:34.893
3831978695.075,6.002,385.344,756.73,299.90,130236,0.79,32125,367.815,2025/06/05 14:31:35.958
3831978696.084,0.427,385.093,756.16,299.90,130269,0.79,11125,371.979,2025/06/05 14:31:36.908
3831978697.089,-1.646,383.472,757.09,299.90,130952,0.79,11125,371.979,2025/06/05 14:31:37.908
3831978698.089,0.511,385.164,756.42,299.90,130151,0.79,11125,371.979,2025/06/05 14:31:38.910
3831978699.085,0.368,385.055,756.62,299.90,130157,0.79,11125,371.979,2025/06/05 14:31:39.908
3831978700.085,0.321,385.018,756.62,299.90,130166,0.79,11125,371.979,2025/06/05 14:31:40.908
3831978701.086,0.259,384.973,756.88,299.90,130144,0.79,11125,371.979,2025/06/05 14:31:41.916
3831978702.086,-0.024,384.742,756.42,299.90,130238,0.79,11125,371.979,2025/06/05 14:31:42.909
3831978703.087,0.560,385.207,756.62,299.90,130205,0.79,11125,371.979,2025/06/05 14:31:43.909
3831978704.086,0.073,384.827,756.88,299.89,130209,0.79,11125,371.979,2025/06/05 14:31:44.910
3831978705.106,0.979,385.548,757.19,299.90,130156,0.79,11125,371.979,2025/06/05 14:31:45.926
3831978706.094,-0.082,384.709,757.19,299.90,130215,0.79,10125,371.979,2025/06/05 14:31:46.925
3831978707.086,-0.559,384.325,756.73,299.90,130205,0.79,10125,371.979,2025/06/05 14:31:47.915
3831978708.086,0.398,385.081,756.73,299.89,130220,0.79,10125,371.979,2025/06/05 14:31:48.916
3831978709.086,0.307,385.009,756.73,299.90,130245,0.79,10125,371.979,2025/06/05 14:31:49.908
3831978710.098,-0.427,384.432,756.88,299.90,130258,0.79,10125,371.979,2025/06/05 14:31:50.925
3831978711.086,0.376,385.069,757.09,299.90,130166,0.79,10125,371.979,2025/06/05 14:31:51.907
3831978712.085,0.056,384.810,756.73,299.90,130198,0.79,10125,371.979,2025/06/05 14:31:52.909
3831978713.086,-0.728,384.189,756.62,299.90,130258,0.79,10125,371.979,2025/06/05 14:31:53.909
3831978714.089,0.539,385.190,756.62,299.90,130235,0.79,10125,371.979,2025/06/05 14:31:54.908
3831978715.100,1.018,385.569,756.62,299.90,130270,0.79,10125,371.979,2025/06/05 14:31:55.932
3831978716.085,-0.266,384.564,757.19,299.90,130228,0.79,10125,371.979,2025/06/05 14:31:56.907
3831978717.085,-0.088,384.700,756.88,299.89,130172,0.79,10125,371.979,2025/06/05 14:31:57.909
3831978718.085,-0.219,384.596,756.88,299.90,130205,0.79,10125,371.979,2025/06/05 14:31:58.909
3831978719.085,-0.228,384.584,756.62,299.90,130226,0.79,10125,371.979,2025/06/05 14:31:59.911
3831978720.099,-0.496,384.380,757.09,299.90,130184,0.79,10125,371.979,2025/06/05 14:32:00.924
3831978721.085,-0.079,384.712,757.19,299.90,130163,0.79,10125,371.979,2025/06/05 14:32:01.907
3831978722.085,0.958,385.529,757.09,299.90,130235,0.79,10125,371.979,2025/06/05 14:32:02.907
3831978723.085,-0.176,384.627,756.73,299.90,130183,0.79,10125,371.979,2025/06/05 14:32:03.912
3831978724.085,0.777,385.378,756.62,299.90,130189,0.79,10125,371.979,2025/06/05 14:32:04.907
3831978725.101,1.149,385.674,756.73,299.90,130227,0.79,10125,371.979,2025/06/05 14:32:05.924
3831978726.086,0.431,385.109,756.88,299.90,130188,0.79,10125,371.979,2025/06/05 14:32:06.907
3831978727.086,0.427,385.107,756.88,299.89,130215,0.79,10125,371.979,2025/06/05 14:32:07.916
3831978728.086,0.181,384.909,756.73,299.90,130207,0.79,10125,371.979,2025/06/05 14:32:08.907
3831978729.086,-0.243,384.574,756.73,299.90,130193,0.79,10125,371.979,2025/06/05 14:32:09.916
3831978730.088,0.084,384.835,756.88,299.90,130156,0.79,10125,371.979,2025/06/05 14:32:10.923
3831978731.087,0.330,385.033,757.09,299.90,130202,0.79,10125,371.979,2025/06/05 14:32:11.909
3831978732.092,-0.280,384.548,756.88,299.90,130213,0.79,10125,371.979,2025/06/05 14:32:12.923
3831978733.089,-0.941,384.023,756.73,299.90,130182,0.79,10125,371.979,2025/06/05 14:32:13.908
3831978734.086,1.426,385.892,756.73,299.90,130179,0.79,10125,371.979,2025/06/05 14:32:14.918
3831978735.100,-0.005,384.762,756.73,299.90,130167,0.79,10125,371.979,2025/06/05 14:32:15.923
3831978736.085,-0.280,384.553,757.19,299.90,130178,0.79,10125,371.979,2025/06/05 14:32:16.907
3831978737.085,1.092,385.619,756.16,299.90,130166,0.79,10125,371.979,2025/06/05 14:32:17.907
3831978738.085,0.452,385.121,756.62,299.91,130220,0.79,10125,371.979,2025/06/05 14:32:18.907
3831978739.085,0.768,385.375,756.88,299.90,130188,0.79,10125,371.979,2025/06/05 14:32:19.906
3831978740.085,0.220,384.948,757.19,299.90,130164,0.79,10125,371.979,2025/06/05 14:32:20.907
3831978741.086,-0.555,384.330,756.88,299.91,130243,0.79,10125,371.979,2025/06/05 14:32:21.906
3831978742.086,0.974,385.536,756.73,299.90,130177,0.79,10125,371.979,2025/06/05 14:32:22.906
3831978743.086,1.025,385.582,757.09,299.90,130217,0.79,10125,371.979,2025/06/05 14:32:23.908
3831978744.088,-0.108,384.689,757.19,299.90,130213,0.79,10125,371.979,2025/06/05 14:32:24.906
3831978745.100,0.424,385.109,757.19,299.90,130169,0.79,10125,371.979,2025/06/05 14:32:25.923
3831978746.085,0.039,384.797,756.73,299.90,130155,0.79,10125,371.979,2025/06/05 14:32:26.906
3831978747.085,-0.187,384.613,756.42,299.90,130151,0.79,10125,371.979,2025/06/05 14:32:27.906
3831978748.085,0.522,385.178,756.73,299.90,130162,0.79,10125,371.979,2025/06/05 14:32:28.908
3831978749.088,0.426,385.111,757.19,299.90,130112,0.79,10125,371.979,2025/06/05 14:32:29.911
3831978750.100,-0.400,384.450,756.73,299.91,130137,0.79,10125,371.979,2025/06/05 14:32:30.922
3831978751.085,0.951,385.520,756.88,299.90,130165,0.79,10125,371.979,2025/06/05 14:32:31.916
3831978752.085,0.382,385.068,756.73,299.90,130172,0.79,10125,371.979,2025/06/05 14:32:32.906
3831978753.085,0.728,385.343,756.88,299.91,130159,0.79,10125,371.979,2025/06/05 14:32:33.906
3831978754.085,0.496,385.165,757.19,299.90,130192,0.79,10125,371.979,2025/06/05 14:32:34.906
3831978755.100,0.211,384.939,757.09,299.90,130123,0.79,10125,371.979,2025/06/05 14:32:35.925
3831978756.086,0.411,385.093,756.88,299.90,130171,0.79,10125,371.979,2025/06/05 14:32:36.907
3831978757.086,-0.323,384.509,756.62,299.90,130153,0.79,10125,371.979,2025/06/05 14:32:37.907
3831978758.086,0.752,385.360,756.73,299.91,130132,0.79,10125,371.979,2025/06/05 14:32:38.906
3831978759.086,-0.066,384.714,756.73,299.90,130182,0.79,10125,371.979,2025/06/05 14:32:39.907
3831978760.098,-0.171,384.630,756.73,299.91,130147,0.79,10125,371.979,2025/06/05 14:32:40.923
3831978761.086,0.721,385.342,757.09,299.91,130108,0.79,10125,371.979,2025/06/05 14:32:41.917
3831978762.086,0.688,385.304,756.42,299.91,130127,0.79,10125,371.979,2025/06/05 14:32:42.905
3831978763.086,1.233,385.733,756.31,299.91,129900,0.79,10125,371.979,2025/06/05 14:32:43.905
3831978764.086,3.491,387.530,757.09,299.91,129295,0.79,10125,371.979,2025/06/05 14:32:44.907
3831978765.101,3.334,387.407,757.19,299.91,129353,0.79,10125,371.979,2025/06/05 14:32:45.921
3831978766.089,4.108,388.014,756.88,299.91,129172,0.79,10125,371.979,2025/06/05 14:32:46.920
3831978767.090,5.028,388.740,756.88,299.91,128994,0.79,10125,371.979,2025/06/05 14:32:47.922
3831978768.086,5.421,389.054,757.09,299.91,128652,0.79,10125,371.979,2025/06/05 14:32:48.905
3831978769.086,3.728,387.713,756.88,299.91,129111,0.79,10125,371.979,2025/06/05 14:32:49.920
3831978770.099,5.383,389.020,756.88,299.91,128964,0.79,10125,371.979,2025/06/05 14:32:50.925
3831978771.090,5.999,389.511,757.09,299.91,128861,0.79,10125,371.979,2025/06/05 14:32:51.920
3831978772.085,5.699,389.274,757.09,299.91,128781,0.79,10125,371.979,2025/06/05 14:32:52.905
3831978773.095,5.403,389.032,756.62,299.91,128792,0.79,10125,371.979,2025/06/05 14:32:53.926
3831978774.085,5.899,389.424,756.62,299.91,128332,0.79,10125,371.979,2025/06/05 14:32:54.904
3831978775.085,5.384,389.017,756.62,299.91,128727,0.79,10125,371.979,2025/06/05 14:32:55.905
3831978776.087,6.063,389.562,757.09,299.91,128695,0.79,10125,371.979,2025/06/05 14:32:56.907
3831978777.087,7.138,390.412,757.19,299.92,128544,0.79,10125,371.979,2025/06/05 14:32:57.919
3831978778.086,6.593,389.977,756.88,299.92,128408,0.79,10125,371.979,2025/06/05 14:32:58.903
3831978779.086,7.867,390.975,756.42,299.91,128315,0.79,10125,371.979,2025/06/05 14:32:59.904
3831978780.101,5.076,388.770,756.42,299.92,128725,0.79,10125,371.979,2025/06/05 14:33:00.920
3831978781.086,6.172,389.647,757.09,299.92,128725,0.79,10125,371.979,2025/06/05 14:33:01.917
3831978782.086,6.068,389.567,757.19,299.92,128761,0.79,10125,371.979,2025/06/05 14:33:02.906
3831978783.089,5.230,388.900,756.88,299.91,128942,0.79,10125,371.979,2025/06/05 14:33:03.906
3831978784.089,6.244,389.696,756.62,299.92,128625,0.79,10125,371.979,2025/06/05 14:33:04.905
3831978785.103,6.256,389.707,756.73,299.93,128249,0.79,10125,371.979,2025/06/05 14:33:05.930
3831978786.086,6.892,390.216,757.09,299.92,128341,0.79,10125,371.979,2025/06/05 14:33:06.904
3831978787.086,7.769,390.908,757.09,299.93,128543,0.79,10125,371.979,2025/06/05 14:33:07.916
3831978788.086,7.390,390.603,756.73,299.92,128468,0.79,10125,371.979,2025/06/05 14:33:08.916
3831978789.089,8.040,391.115,756.62,299.92,128094,0.79,10125,371.979,2025/06/05 14:33:09.905
3831978790.101,7.955,391.050,756.73,299.92,128330,0.79,10125,371.979,2025/06/05 14:33:10.930
3831978791.087,5.559,389.159,756.88,299.93,128883,0.79,10125,371.979,2025/06/05 14:33:11.904
3831978792.087,6.493,389.897,756.88,299.93,128739,0.79,10125,371.979,2025/06/05 14:33:12.909
3831978793.090,8.144,391.201,756.88,299.93,127947,0.79,10125,371.979,2025/06/05 14:33:13.917
3831978794.085,6.125,389.602,756.62,299.93,128469,0.79,10125,371.979,2025/06/05 14:33:14.915
3831978795.085,3.955,387.892,756.88,299.93,129119,0.79,10125,371.979,2025/06/05 14:33:15.910
3831978796.090,4.386,388.232,756.88,299.92,129106,0.79,10125,371.979,2025/06/05 14:33:16.909
3831978797.086,4.719,388.492,756.73,299.93,128897,0.79,10125,371.979,2025/06/05 14:33:17.911
3831978798.087,4.016,387.930,756.31,299.94,129044,0.79,10125,371.979,2025/06/05 14:33:18.916
3831978799.086,8.376,391.381,756.73,299.93,127923,0.79,10125,371.979,2025/06/05 14:33:19.915
3831978800.103,8.787,391.709,756.88,299.93,128086,0.79,10125,371.979,2025/06/05 14:33:20.931
3831978801.093,5.645,389.231,757.09,299.93,128924,0.79,10125,371.979,2025/06/05 14:33:21.924
3831978802.088,4.411,388.255,757.09,299.94,128902,0.79,10125,371.979,2025/06/05 14:33:22.921
3831978803.086,7.105,390.380,756.88,299.93,128072,0.79,10125,371.979,2025/06/05 14:33:23.920
3831978804.086,7.597,390.772,757.09,299.94,128044,0.79,10125,371.979,2025/06/05 14:33:24.914
3831978805.101,10.389,392.980,757.19,299.93,127681,0.79,10125,371.979,2025/06/05 14:33:25.935
3831978806.086,21.890,402.060,756.88,299.93,124675,0.79,10125,371.979,2025/06/05 14:33:26.919
3831978807.086,36.284,413.423,756.42,299.94,121194,0.79,10125,371.979,2025/06/05 14:33:27.918
3831978808.085,44.395,419.834,756.62,299.94,119198,0.79,10125,371.979,2025/06/05 14:33:28.920
3831978809.085,49.262,423.679,756.62,299.95,118309,0.79,10125,371.979,2025/06/05 14:33:29.912
3831978810.102,49.364,423.768,757.09,299.93,117986,0.79,10125,371.979,2025/06/05 14:33:30.940
3831978811.086,54.819,428.078,757.09,299.93,116774,0.79,10125,371.979,2025/06/05 14:33:31.922
3831978812.086,60.554,432.602,756.73,299.94,115550,0.79,10125,371.979,2025/06/05 14:33:32.924
3831978813.086,62.041,433.777,756.73,299.93,115475,0.79,10125,371.979,2025/06/05 14:33:33.925
3831978814.090,61.157,433.090,757.40,299.94,115498,0.79,10125,371.979,2025/06/05 14:33:34.929
3831978815.085,55.044,428.261,757.40,299.94,116700,0.79,10125,371.979,2025/06/05 14:33:35.929
3831978816.088,54.180,427.577,757.40,299.95,117155,0.79,10125,371.979,2025/06/05 14:33:36.928
3831978817.089,53.067,426.687,756.73,299.93,116804,0.79,10125,371.979,2025/06/05 14:33:37.931
3831978818.088,55.718,428.784,756.88,299.95,116740,0.79,10125,371.979,2025/06/05 14:33:38.928
3831978819.086,55.764,428.820,756.88,299.95,116724,0.79,10125,371.979,2025/06/05 14:33:39.928
3831978820.085,61.362,433.242,756.88,299.95,115431,0.79,10125,371.979,2025/06/05 14:33:40.933
3831978821.087,59.562,431.825,757.09,299.94,115939,0.79,10125,371.979,2025/06/05 14:33:41.931
3831978822.085,56.049,429.041,756.62,299.94,116671,0.79,10125,371.979,2025/06/05 14:33:42.930
3831978823.086,57.947,430.540,756.62,299.94,115843,0.79,10125,371.979,2025/06/05 14:33:43.932
3831978824.086,58.584,431.051,757.09,299.94,116365,0.79,10125,371.979,2025/06/05 14:33:44.932
3831978825.101,52.546,426.286,757.40,299.95,117081,0.79,10125,371.979,2025/06/05 14:33:45.942
3831978826.085,52.385,426.144,756.42,299.93,117530,0.79,10125,371.979,2025/06/05 14:33:46.932
3831978827.085,51.030,425.080,756.88,299.95,117794,0.79,10125,371.979,2025/06/05 14:33:47.932
3831978828.085,50.215,424.436,756.88,299.95,117943,0.79,10125,371.979,2025/06/05 14:33:48.924
3831978829.086,52.799,426.478,756.88,299.94,117479,0.79,10125,371.979,2025/06/05 14:33:49.936
3831978830.097,54.850,428.103,757.19,299.95,116811,0.79,10125,371.979,2025/06/05 14:33:50.947
3831978831.085,54.349,427.702,756.88,299.95,117060,0.79,10125,371.979,2025/06/05 14:33:51.935
3831978832.089,50.641,424.764,756.42,299.96,117986,0.79,10125,371.979,2025/06/05 14:33:52.940
3831978833.089,51.905,425.772,756.88,299.95,117346,0.79,10125,371.979,2025/06/05 14:33:53.942
3831978834.086,50.233,424.456,757.19,299.94,117655,0.79,10125,371.979,2025/06/05 14:33:54.932
3831978835.103,55.970,428.982,756.88,299.96,116860,0.79,10125,371.979,2025/06/05 14:33:55.959
3831978836.086,53.643,427.145,756.88,299.95,117156,0.79,10125,371.979,2025/06/05 14:33:56.941
3831978837.086,49.804,424.109,756.73,299.96,117921,0.79,10125,371.979,2025/06/05 14:33:57.938
3831978838.087,48.874,423.374,756.73,299.95,118105,0.79,10125,371.979,2025/06/05 14:33:58.933
3831978839.087,54.540,427.856,757.09,299.96,116955,0.79,10125,371.979,2025/06/05 14:33:59.938
3831978840.103,46.790,421.726,756.62,299.95,118761,0.79,10125,371.979,2025/06/05 14:34:00.961
3831978841.087,50.473,424.632,756.42,299.95,118170,0.79,10125,371.979,2025/06/05 14:34:01.943
3831978842.087,57.877,430.487,756.73,299.95,116331,0.79,10125,371.979,2025/06/05 14:34:02.938
3831978843.086,55.317,428.476,757.40,299.95,116652,0.79,10125,371.979,2025/06/05 14:34:03.944
3831978844.086,48.659,423.206,756.88,299.96,117984,0.79,10125,371.979,2025/06/05 14:34:04.934
3831978845.097,50.880,424.965,757.09,299.95,117525,0.79,10125,371.979,2025/06/05 14:34:05.947
3831978846.085,53.256,426.844,757.19,299.96,116925,0.79,10125,371.979,2025/06/05 14:34:06.944
3831978847.086,52.980,426.625,757.19,299.96,117193,0.79,10125,371.979,2025/06/05 14:34:07.940
3831978848.087,51.695,425.602,756.73,299.96,117593,0.79,10125,371.979,2025/06/05 14:34:08.948
3831978849.089,57.587,430.255,756.62,299.96,116554,0.79,10125,371.979,2025/06/05 14:34:09.948
3831978850.102,56.626,429.497,756.62,299.95,116367,0.79,10125,371.979,2025/06/05 14:34:10.961
3831978851.086,58.122,430.680,756.73,299.96,116065,0.79,10125,371.979,2025/06/05 14:34:11.941
3831978852.085,67.563,438.144,757.09,299.96,114388,0.79,10125,371.979,2025/06/05 14:34:12.938
3831978853.085,77.258,445.800,756.88,299.96,112045,0.79,10125,371.979,2025/06/05 14:34:13.949
3831978854.085,77.817,446.237,756.62,299.98,111881,0.79,10125,371.979,2025/06/05 14:34:14.946
3831978855.085,85.812,452.555,756.73,299.96,110223,0.79,10125,371.979,2025/06/05 14:34:15.955
3831978856.085,99.348,463.256,757.19,299.98,108160,0.79,10125,371.979,2025/06/05 14:34:16.937
3831978857.085,90.100,455.948,757.09,299.96,109359,0.79,10125,371.979,2025/06/05 14:34:17.950
3831978858.086,92.218,457.614,756.62,299.98,109178,0.79,10125,371.979,2025/06/05 14:34:18.946
3831978859.087,91.022,456.670,756.73,299.96,109649,0.79,10125,371.979,2025/06/05 14:34:19.945
3831978860.100,81.536,449.176,756.73,299.96,111437,0.79,10125,371.979,2025/06/05 14:34:20.956
3831978861.086,83.071,450.395,757.09,299.98,111058,0.79,10125,371.979,2025/06/05 14:34:21.953
3831978862.086,85.295,452.152,757.09,299.96,110258,0.79,10125,371.979,2025/06/05 14:34:22.947
3831978863.086,89.895,455.783,756.88,299.96,109446,0.79,10125,371.979,2025/06/05 14:34:23.944
3831978864.086,92.570,457.892,756.62,299.96,109262,0.79,10125,371.979,2025/06/05 14:34:24.957
3831978865.100,98.359,462.466,756.73,299.98,107874,0.79,10125,371.979,2025/06/05 14:34:25.968
3831978866.086,91.636,457.163,757.19,299.98,109363,0.79,10125,371.979,2025/06/05 14:34:26.950
3831978867.086,93.013,458.249,757.09,299.98,109068,0.79,10125,371.979,2025/06/05 14:34:27.947
3831978868.086,89.329,455.332,756.73,299.98,109570,0.79,10125,371.979,2025/06/05 14:34:28.959
3831978869.085,85.270,452.124,756.62,299.98,110591,0.79,10125,371.979,2025/06/05 14:34:29.961
3831978870.098,90.993,456.647,756.73,299.98,109805,0.79,10125,371.979,2025/06/05 14:34:30.968
3831978871.085,94.874,459.720,757.09,299.98,108774,0.79,10125,371.979,2025/06/05 14:34:31.952
3831978872.086,90.421,456.196,756.73,299.98,109774,0.79,10125,371.979,2025/06/05 14:34:32.962
3831978873.086,85.424,452.250,756.88,299.99,110542,0.79,10125,371.979,2025/06/05 14:34:33.960
3831978874.085,88.086,454.351,756.73,299.96,109647,0.79,10125,371.979,2025/06/05 14:34:34.958
3831978875.097,89.927,455.817,757.40,299.98,109627,0.79,10125,371.979,2025/06/05 14:34:35.970
3831978876.086,89.912,455.801,757.19,299.98,110017,0.79,10125,371.979,2025/06/05 14:34:36.965
3831978877.086,94.798,459.661,757.19,299.98,108723,0.79,10125,371.979,2025/06/05 14:34:37.965
